code,iso,Country,EPIcurrent,EPI.baseline,HLT.current,HLT.baseline,AIRcurrent,AIR.baseline,H2O.current,H2O.baseline,HMT.current,HMT.baseline,ECO.current,ECO.baseline,BDH.current,BDH.baseline,FRT.current,FRT.baseline,FSH.current,FSH.baseline,CCE.current,CCE.baseline,APE.current,APE.baseline,WRS.current,WRS.baseline,AGR.current,AGR.baseline,HAD.current,HAD.baseline,PME.current,PME.baseline,PMW.current,PMW.baseline,USD.current,USD.baseline,UWD.current,UWD.baseline,PBD.current,PBD.baseline,MPA.current,MPA.baseline,TBN.current,TBN.baseline,TBG.current,TBG.baseline,SPI.current,SPI.baseline,PAR.current,PAR.baseline,SHI.current,SHI.baseline,TCL.current,TCL.baseline,FSS.current,FSS.baseline,MTR.current,MTR.baseline,DCT.current,DCT.baseline,DPT.current,DPT.baseline,DMT.current,DMT.baseline,DNT.current,DNT.baseline,DBT.current,DBT.baseline,DST.current,DST.baseline,DXT.current,DXT.baseline,WWT.current,WWT.baseline,SNM.current,SNM.baseline
132,CPV,Cabo Verde,56.94,48.17,60.9,56.09,70.81,67.12,40.66,33.58,53.47,47.81,54.3,42.9,20.67,20.35,,,62.23,60.62,69.56,37.01,72.99,70.41,82.2,82.2,21.9,21.9,27.03,17.8,100,100,100,100,39.9,32.47,41.42,34.69,53.47,47.81,0,0,13.26,13.03,13.26,13.03,25.56,25.37,2.69,0.58,99.85,100,,,70.49,77.76,53.96,43.47,64.12,26.61,,,88.79,66.79,82,49.93,56.23,50.55,73.64,67.69,72.33,73.13,82.2,82.2,21.9,21.9
140,CAF,Central African Republic,36.42,45.46,29.16,32.14,42.93,47.67,0,0,25.01,23.07,41.26,54.33,89.6,89.47,43.52,55.14,,,17.55,48.78,40.31,52.92,0,0,21.83,21.83,0,0,68.91,76.83,74.2,82.09,0,0,0,0,25.01,23.07,,,100,100,100,100,84.15,84.14,49.99,47.95,98.48,99.55,43.52,55.14,,,,,24.33,68.78,,,0.4,1.32,0.35,0.38,8.39,6.88,48.21,64.55,32.41,41.3,0,0,21.83,21.83
148,TCD,Chad,45.34,42.48,41.36,40.56,60.82,59.9,0.32,0,34.67,32.45,47.99,43.75,72.22,71.7,9.46,32.01,,,49.62,27.49,78.57,85.58,0,0,28.9,28.9,2.52,0,100,100,99.36,99.68,0.25,0,0.38,0,34.67,32.45,,,68.09,68.09,77.36,77.36,83.64,82.69,28.36,20.55,91.21,96.82,9.46,32.01,,,,,55.08,30.24,,,36.24,15.04,34.03,25.76,42.23,40.59,78.88,87.18,78.25,83.98,0,0,28.9,28.9
152,CHL,Chile,57.49,59.79,73.73,71.53,69.22,68.44,79.61,74.78,97.15,92.27,46.66,51.96,69.79,59.32,10.83,17.37,51.01,53.11,37.37,40.94,3.37,63.22,98.55,98.55,32.52,32.52,65.17,51.27,70.97,81.71,72.86,78.06,79.41,73.36,79.81,76.21,97.15,92.27,100,56.92,61.65,60.72,43.29,41.69,67.31,61.92,65.19,54.47,88.18,96.21,10.83,17.37,55.85,63.31,46.18,42.91,26.05,57.32,11.13,11.13,84.75,35.57,74.68,24.6,28.62,34.33,5.42,66.63,1.32,59.81,98.55,98.55,32.52,32.52
156,CHN,China,50.74,45.13,31.72,22.13,14.39,7.33,68.24,52.71,38.02,31.04,63.42,60.46,72.57,74.31,21.89,31.44,70.41,64.38,68.62,51.59,57.08,70.72,80.2,80.2,34.64,34.64,25.85,13.95,1.05,0,12.44,5.84,66.82,50.43,69.66,55,38.02,31.04,89.28,88.95,67.65,67.53,83.05,82.95,72.21,71.43,29.46,26.95,71.81,94.39,21.89,31.44,90.52,84.07,50.3,44.7,63.24,42.08,45.59,45.59,99,67.37,99.89,76.37,61.84,82.9,60.12,75.34,54.05,66.1,80.2,80.2,34.64,34.64
170,COL,Colombia,65.22,59.22,71.05,64.67,77.01,72.96,59.96,49.06,60.12,50.43,61.33,55.6,81.37,73.03,27.88,28.29,92.93,53.74,50.1,47.29,56.76,67.47,77.21,77.21,9.6,9.6,44.78,34.52,100,100,97.01,97.18,63.79,51.3,56.12,46.82,60.12,50.43,88.43,87.23,82.84,65.35,78.16,66.33,84.27,72.63,77.84,58.33,68.48,88.94,27.88,28.29,85.87,71.88,100,35.61,44.35,71.72,29.47,29.47,78.62,13.18,78.08,19.83,48.13,38.22,59.62,72.55,53.89,62.4,77.21,77.21,9.6,9.6
174,COM,Comoros,44.24,37.26,47.06,43.8,64.38,62.73,10,3.36,44.3,40.43,42.37,32.89,55.8,22.85,12.66,62.58,57.81,51.18,49.44,25.27,30.02,46.92,26.32,26.32,18.05,18.05,10.95,6.83,100,100,100,100,9.37,3.01,10.63,3.71,44.3,40.43,55.3,55.3,55.8,3.8,55.8,3.8,72.18,8.32,20.47,17.9,59.39,68.18,12.66,62.58,73.57,67.72,42.05,34.64,57.09,19.52,,,30.41,38.73,49.05,45.34,18.77,31.86,33.35,46.67,26.68,47.17,26.32,26.32,18.05,18.05
188,CRI,Costa Rica,67.85,63.16,76.44,72.19,84.43,80.12,62.78,59.22,54.45,46.89,62.13,57.13,87.71,88.76,28.49,22.89,69.69,54.14,59.29,47.72,58.15,61.44,64.78,64.78,6.04,6.04,61.08,50.3,100,100,100,100,68.08,63.23,57.48,55.21,54.45,46.89,80.49,80.49,94.39,94.39,87.09,87.09,98.86,98.86,82.97,72.88,72.42,93.03,28.49,22.89,71.96,60.85,67.41,47.44,58.7,38.7,79.09,79.09,56.64,44.71,55.75,58.72,0.07,13.44,64.39,55.22,51.91,67.65,64.78,64.78,6.04,6.04
384,CIV,C̫te d'Ivoire,45.25,48.67,39.55,42.14,53.88,59.65,9.53,6.32,33.42,29.48,49.05,53.02,83.66,87.88,0,11.15,59.69,66.97,38.57,40.59,51.38,56.02,44.63,44.63,19.83,19.83,5.15,2.23,86.69,100,86.04,95.86,9.53,6.16,9.53,6.47,33.42,29.48,69.89,65.37,100,100,100,100,99.45,99.45,66.61,64.61,31.35,84.54,0,11.15,74.62,82.12,44.75,51.83,39.2,55.61,37.24,37.24,39.41,14.69,60.67,35.86,12.1,12.19,63.77,64.21,38.99,47.83,44.63,44.63,19.83,19.83
191,HRV,Croatia,65.45,63.29,67.04,71.68,64.07,72.23,70.01,68.82,87.84,81.75,64.39,57.69,95.25,76.37,34.36,37.84,54.55,60.6,54.41,41.83,43.23,51.62,86.58,86.58,47.68,47.68,48.68,39.68,72.84,96.06,75.83,91.79,74.08,73.22,65.94,64.43,87.84,81.75,99.04,81.89,100,74.09,100,69.23,99.99,90.55,65.62,36.6,88.79,95.61,34.36,37.84,92.25,86.14,16.85,35.06,57.84,43.21,62.12,62.12,45.56,33.33,56.38,22.58,22.73,0.06,49.32,59.76,37.14,43.48,86.58,86.58,47.68,47.68
192,CUB,Cuba,63.42,66.32,75.76,71.82,86.47,81.95,57.5,55.34,46.03,39.07,55.2,62.65,74.37,71.26,14.72,20.27,49.23,59.76,49.15,70.68,75.32,76.92,72.52,72.52,13.59,13.59,66.18,54.87,100,100,100,100,58.2,55.65,56.8,55.03,46.03,39.07,94.2,89.09,60.75,56.53,65.31,62.2,79.17,79.14,49.29,40.99,95.61,97.73,14.72,20.27,34.23,39.93,64.23,79.6,44.48,89.15,33.45,33.45,62.9,54.31,55.53,72.28,97.24,98.74,59.67,57.59,90.98,96.25,72.52,72.52,13.59,13.59
196,CYP,Cyprus,72.6,69.54,87.96,88.41,87.5,90.66,92.35,89.06,67.57,55.27,62.37,56.95,81.66,69.67,36.06,53.5,52.55,51.95,66.26,54.38,49.65,44.31,79.34,79.34,6.29,6.29,90.12,78.27,85.49,100,86.02,97.84,92.35,87.94,92.34,90.18,67.57,55.27,68.14,61.27,100,70.05,100,70.05,99.55,99.04,21.21,13.19,59.99,82.72,36.06,53.5,26.64,3.9,78.47,100,62.53,39.65,45.11,45.11,92.22,96.94,56.04,48.01,94.5,74.77,56.67,44.74,42.62,43.87,79.34,79.34,6.29,6.29
